name,account_name,group,password
Alexis Sanchez,alexis.sanchez,arsenal,Iru#KgfHnixTx
Mesut Ozil,mesut.ozil,arsenal,npS@&qFOOkblF
Petr Cech,petr.cech,arsenal,5juvY*5mnVlEV
Theo Walcott,theo.walcott,arsenal,LRPYR1c6Z7DIn
Laurent Koscielny,laurent.koscielny,arsenal,f!&HK^gbC^6Jn
Hector Bellerin,hector.bellerin,arsenal,vjvsFc0pE5#BB
Olivier Giroud,olivier.giroud,arsenal,2KCAkjbX#cMhS
Nacho Monreal,nacho.monreal,arsenal,FtRJ72vDQRN0B
Shkodran Mustafi,shkodran.mustafi,arsenal,w%pJQ5xg@sda&
Alex Iwobi,alex.iwobi,arsenal,6^ZReqDqt^MWy
Granit Xhaka,granit.xhaka,arsenal,tjWG4VCAu7t6i
Alex Oxlade-Chamberlain,alex.oxlade-chamberlain,arsenal,VeXFH^lceZLDb
Jack Wilshere,jack.wilshere,arsenal,@@IW8Q86ksqDY
Aaron Ramsey,aaron.ramsey,arsenal,u%dB2DM2sN9IC
Francis Coquelin,francis.coquelin,arsenal,rcLLtXqQ*eH4G
Gabriel Paulista,gabriel.paulista,arsenal,5Zp$^Qr8MUvUy
Kieran Gibbs,kieran.gibbs,arsenal,k6JQqSI8qt%2e
Santi Cazorla,santi.cazorla,arsenal,w0V&jYmFKIRnY
Danny Welbeck,danny.welbeck,arsenal,rsIF7FYhf8nBC
Rob Holding,rob.holding,arsenal,HIF#f8&RY4$#^
Mohamed Elneny,mohamed.elneny,arsenal,yXWBbyUty7A#$
Lucas Perez,lucas.perez,arsenal,nhV@KP5ulZasi
Emiliano Martinez,emiliano.martinez,arsenal,^%prHMXVQAPVa
David Ospina,david.ospina,arsenal,Yvn9wCZD3GNVn
Carl Jenkinson,carl.jenkinson,arsenal,NpTb6YPc*gNC#
Per Mertesacker,per.mertesacker,arsenal,yzAzBM@MqBIs#
Sead Kolasinac,sead.kolasinac,arsenal,FOkNdR6dgKl%p
Alexandre Lacazette,alexandre.lacazette,arsenal,MNuBI57IVeB2q
Joshua King,joshua.king,bournemouth,@PiNkc#zVlLk2
Jermain Defoe,jermain.defoe,bournemouth,x!qIIt5!btrps
Charlie Daniels,charlie.daniels,bournemouth,PJjWxw0apt9$6
Artur Boruc,artur.boruc,bournemouth,$yq2XXm9c50Zg
Steve Cook,steve.cook,bournemouth,7FDk^ubWZHFsP
Junior Stanislas,junior.stanislas,bournemouth,NRg!of%!&L%Fx
Adam Smith,adam.smith,bournemouth,%a1qBLicO&9Fy
Ryan Fraser,ryan.fraser,bournemouth,S&tWNdK77#VpK
Simon Francis,simon.francis,bournemouth,lGbqXs!RUwBZp
Benik Afobe,benik.afobe,bournemouth,*&$HUF&Qy%peN
Harry Arter,harry.arter,bournemouth,9ISKV5ZEJY$5X
Marc Pugh,marc.pugh,bournemouth,^ZWW17SQZBZ&N
Callum Wilson,callum.wilson,bournemouth,QN#oJ7%$g8ZYA
Nathan Ake,nathan.ake,bournemouth,ecplRwYLp@^O5
Dan Gosling,dan.gosling,bournemouth,z0d3g%4ZrxQo4
Andrew Surman,andrew.surman,bournemouth,*k5SyGegZX6@F
Jordon Ibe,jordon.ibe,bournemouth,kMtzyCpj*LIYS
Lewis Cook,lewis.cook,bournemouth,Pyq4SxX0h2r!j
Lys Mousset,lys.mousset,bournemouth,mVjFy^KT%&@q@
Adam Federici,adam.federici,bournemouth,Lc7KrN7j@TPte
Max Gradel,max.gradel,bournemouth,tIOOZEZ6alyvE
Tyrone Mings,tyrone.mings,bournemouth,MA5AHn3#Nc5N5
Brad Smith,brad.smith,bournemouth,bgytOw$ywH3Ql
Asmir Begovic,asmir.begovic,bournemouth,*G66Lg4Se5Irl
Niki Maenpaa,niki.maenpaa,brighton_and_hove,4FYPNTbJL9!wQ
Mathew Ryan,mathew.ryan,brighton_and_hove,woV0b!*BjmJ$@
